personId,names,ids,categories,rates,candidateRank,candidateModel,candidateName,existsInSiteModel,existsInDbModel,sourceUrl
1748,イヨバ|ドグレル,1748|1847,NR|SS,4|7,1,アレックス・イウォビ,イヨバ,False,False,https://sp.rohm.websoccer.info/player/2575
1748,イヨバ|ドグレル,1748|1847,NR|SS,4|7,5,ハンス＝イェルク・ブット,バッハ,False,False,https://sp.rohm.websoccer.info/player/148
797,イヨバ|ミレー,797|1846,SS,7|7,1,ミケル・ジョン・オビ,ミレー,False,False,https://sp.rohm.websoccer.info/player/919
797,イヨバ|ミレー,797|1846,SS,7|7,2,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
682,エスピノーサ|ドミンゲス,682|748|1526|1870|2512,NR|SS,6|7|7|7|7,1,ファン・クアドラード,エスピノーサ,False,False,https://sp.rohm.websoccer.info/player/1276
1750,エスピノーサ|バリントン・サントス,1750|1869|2300|3097,NR|SS,4|7|7|7,1,ダビンソン・サンチェス,バリントン・サントス,False,False,https://sp.rohm.websoccer.info/player/2574
1750,エスピノーサ|バリントン・サントス,1750|1869|2300|3097,NR|SS,4|7|7|7,4,ハメス・ロドリゲス,ドミンゲス,False,False,https://sp.rohm.websoccer.info/player/1029
696,カクタ|ジルベール,696|758|1345|1362|1436|1852|2149|2426|2670,CM|NR|SS,6|7|5|7|7|7|7|7|7,1,エデン・アザール,ジルベール,False,False,https://sp.rohm.websoccer.info/player/796
696,カクタ|ジルベール,696|758|1345|1362|1436|1852|2149|2426|2670,CM|NR|SS,6|7|5|7|7|7|7|7|7,3,ヤン・フェルトンゲン,シルヴェストル,False,False,https://sp.rohm.websoccer.info/player/1953
697,カクタ|リーキー,697|757|1694|1853|2162|2427|2671|2842|3090|3142,CM|NR|SS,4|7|7|7|7|7|7|7|7|5,1,ロメル・ルカク,カクタ,False,False,https://sp.rohm.websoccer.info/player/4048
697,カクタ|リーキー,697|757|1694|1853|2162|2427|2671|2842|3090|3142,CM|NR|SS,4|7|7|7|7|7|7|7|7|5,3,ヴァンサン・コンパニ,カンパリ,False,False,https://sp.rohm.websoccer.info/player/21
691,カルレロ|ドミンゲス,691|747|937|969|1871,CM|NR|SS,5|7|7|5|7,1,ハメス・ロドリゲス,ドミンゲス,False,False,https://sp.rohm.websoccer.info/player/1029
691,カルレロ|ドミンゲス,691|747|937|969|1871,CM|NR|SS,5|7|7|5|7,5,ダビンソン・サンチェス,バリントン・サントス,False,False,https://sp.rohm.websoccer.info/player/2574
624,カルレロ|吉田　友樹,624|1503|1872|2150,NR|SS,5|7|7|7,1,ラダメル・ファルカオ・ガルシア,カルレロ,False,False,https://sp.rohm.websoccer.info/player/356
639,カンパリ|シルヴェストル,639|762|1574|1849|2732|2885,NR|SS,6|7|7|7|7|7,1,ヴァンサン・コンパニ,カンパリ,False,False,https://sp.rohm.websoccer.info/player/21
639,カンパリ|シルヴェストル,639|762|1574|1849|2732|2885,NR|SS,6|7|7|7|7|7,2,ロメル・ルカク,カクタ,False,False,https://sp.rohm.websoccer.info/player/4048
764,カンパリ|ドグレル,764|1019|1369|1848|2148|2667,NR|SS,7|6|7|7|7|7,1,ティボー・クルトワ,ドグレル,False,False,https://sp.rohm.websoccer.info/player/2339
764,カンパリ|ドグレル,764|1019|1369|1848|2148|2667,NR|SS,7|6|7|7|7|7,2,ケヴィン・デ・ブライネ,ドフレイエ,False,False,https://sp.rohm.websoccer.info/player/1958
777,カート|カートン,777|1053|1367|1567,NR|SS,7|5|7|7,2,ジョー・ハート,カート,False,False,https://sp.rohm.websoccer.info/player/1715
777,カート|カートン,777|1053|1367|1567,NR|SS,7|5|7|7,4,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
1592,カートン|サンダーソン,1592|1685|1855|2133,NR|SS,5|7|7|7,2,ジョー・ハート,カート,False,False,https://sp.rohm.websoccer.info/player/1715
1592,カートン|サンダーソン,1592|1685|1855|2133,NR|SS,5|7|7|7,4,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
1348,キーン|バーニー,1348|1429|1439|1859|2141,CM|NR|SS,4|5|7|7|7,1,ジェイミー・ヴァーディ,バーニー,False,False,https://sp.rohm.websoccer.info/player/2006
1270,キーン|マッシュフィード,1270|1678|1860|2088|2436|2706|2780|2818|3091,NR|RT|SS,5|5|7|7|7|7|7|7|7,1,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
1820,クラコヴィアク|シェフスキ,1820|1863|2198|2722,NR|SS,5|7|7|7,1,ヴォイチェフ・シュチェスニー,シェフスキ,False,False,https://sp.rohm.websoccer.info/player/2659
1754,クラコヴィアク|ランドフスキ,1754|1864,NR|SS,4|7,1,グジェゴシュ・クリホビアク,クラコヴィアク,False,False,https://sp.rohm.websoccer.info/player/2581
2004,クリーク,2004|2583,SS,7|7,1,グジェゴシュ・クリホビアク,クラコヴィアク,False,False,https://sp.rohm.websoccer.info/player/2581
1753,クレペル|マレ,1753|1866|2003|2634|2695|3106,NR|SS,5|7|7|7|7|7,1,カリドゥ・クリバリ,クレペル,False,False,https://sp.rohm.websoccer.info/player/2582
1753,クレペル|マレ,1753|1866|2003|2634|2695|3106,NR|SS,5|7|7|7|7|7,4,ティボー・クルトワ,ドグレル,False,False,https://sp.rohm.websoccer.info/player/2339
698,クレペル|ランドフスキ,698|1322|1455|1768|1865|2000|2028|2341|2345|2440|2643|2723|2828|2848,NR|SS,6|7|7|7|7|7|7|7|7|7|7|7|7|7,2,ヴォイチェフ・シュチェスニー,シェフスキ,False,False,https://sp.rohm.websoccer.info/player/2659
680,ケンブリッジ,680|770|2099,NR|SS,5|7|7,3,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
680,ケンブリッジ,680|770|2099,NR|SS,5|7|7,5,スチュアート・ピアース,ブルース,False,False,https://sp.rohm.websoccer.info/player/1024
1025,シェフスキ|ブラウニング,1025|1744|1862|2708,CM|SS,4|7|7|7,4,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
1025,シェフスキ|ブラウニング,1025|1744|1862|2708,CM|SS,4|7|7|7,5,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
1822,シグムンドソン|ルカリッチ,1822|1842,NR|SS,4|7,3,ブライアン・ムベウモ,ムボンド,False,False,https://sp.rohm.websoccer.info/player/4065
1180,シュルツ,1180|1816,SS,7|7,5,ヴォイチェフ・シュチェスニー,シェフスキ,False,False,https://sp.rohm.websoccer.info/player/2659
2397,シルビーニョ・ドット,2397|2715,SS,7|7,5,ロナウジーニョ,マルセリーニョ,False,False,https://sp.rohm.websoccer.info/player/42
1224,シルヴェストル|ドフレイエ,1224|1850|2087|2668|2945,NR|SS,4|7|7|7|7,1,ヤン・フェルトンゲン,シルヴェストル,False,False,https://sp.rohm.websoccer.info/player/1953
1224,シルヴェストル|ドフレイエ,1224|1850|2087|2668|2945,NR|SS,4|7|7|7|7,4,エデン・アザール,ジルベール,False,False,https://sp.rohm.websoccer.info/player/796
1117,ジウゴ,1117|1806,SS,7|7,5,フアン・アランゴ,ジャンゴ,False,False,https://sp.rohm.websoccer.info/player/867
1165,ジェズアルド|フェラーリ,1165|2130,SS,7|7,1,チロ・フェラーラ,フェラーリ,False,False,https://sp.rohm.websoccer.info/player/1122
967,ジョコビッチ|マンダノビッチ,967|1007|1652|1844|2733,NR|SS,7|5|7|7|7,1,イバン・ラキティッチ,ジョコビッチ,False,False,https://sp.rohm.websoccer.info/player/1570
967,ジョコビッチ|マンダノビッチ,967|1007|1652|1844|2733,NR|SS,7|5|7|7|7,2,マリオ・マンジュキッチ,マンダノビッチ,False,False,https://sp.rohm.websoccer.info/player/1063
607,ジョコビッチ|ルカリッチ,607|734|929|1434|1843|2006|2434|2688|3132,NR|SS,5|7|7|7|7|7|7|7|7,1,ルカ・モドリッチ,ルカリッチ,False,False,https://sp.rohm.websoccer.info/player/805
1223,ジルベール|ドフレイエ,1223|1346|1580|1851|2334|2425|2669|2850,CM|NR|SS,5|5|7|7|7|7|7|7,1,ケヴィン・デ・ブライネ,ドフレイエ,False,False,https://sp.rohm.websoccer.info/player/1958
1223,ジルベール|ドフレイエ,1223|1346|1580|1851|2334|2425|2669|2850,CM|NR|SS,5|5|7|7|7|7|7|7,3,ティボー・クルトワ,ドグレル,False,False,https://sp.rohm.websoccer.info/player/2339
1297,セルジーニョ,1297|1308,NR|SS,7|7,4,ロナウジーニョ,マルセリーニョ,False,False,https://sp.rohm.websoccer.info/player/42
2281,ダニー・アリンガム,2281|2782,SS,7|7,3,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
2281,ダニー・アリンガム,2281|2782,SS,7|7,5,ジェイミー・ヴァーディ,バーニー,False,False,https://sp.rohm.websoccer.info/player/2006
1255,ディミトロフ,1255|2081,SS,7|7,2,キリヤコス・パパドプーロス,ミトロプーロス,False,False,https://sp.rohm.websoccer.info/player/1065
1312,トーニ,1312|1616,CM|SS,7|5,5,ロナウジーニョ,マルセリーニョ,False,False,https://sp.rohm.websoccer.info/player/42
1073,ハドルストーン,1073,SS,7,1,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
1073,ハドルストーン,1073,SS,7,2,スチュアート・ピアース,ブルース,False,False,https://sp.rohm.websoccer.info/player/1024
1252,ハドルストーン,1252,SS,7,1,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
1252,ハドルストーン,1252,SS,7,2,スチュアート・ピアース,ブルース,False,False,https://sp.rohm.websoccer.info/player/1024
746,パウレタ,746|1029|1566|1601,CM|SS,7|5|7|7,1,セイドゥ・ケイタ,ユウタ,False,False,https://sp.rohm.websoccer.info/player/339
2036,ピウスツキ,2036|2826,SS,7|7,1,ヴォイチェフ・シュチェスニー,シェフスキ,False,False,https://sp.rohm.websoccer.info/player/2659
891,フィルレロ,891|1358,CM|SS,5|7,3,ラダメル・ファルカオ・ガルシア,カルレロ,False,False,https://sp.rohm.websoccer.info/player/356
567,フェロー,567|1371,NR|SS,5|7,4,チロ・フェラーラ,フェラーリ,False,False,https://sp.rohm.websoccer.info/player/1122
676,ヘルシンボリ,676|1376,CM|SS,5|7,5,ヴァンサン・コンパニ,カンパリ,False,False,https://sp.rohm.websoccer.info/player/21
628,ボアス　玲偉,628|2650,NR|SS,7|7,2,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
628,ボアス　玲偉,628|2650,NR|SS,7|7,5,塩谷司,富山　奨,False,False,https://sp.rohm.websoccer.info/player/1752
2231,ポンチョ,2231|2477,SS,7|7,2,ハリー・ケイン,キーン,False,False,https://sp.rohm.websoccer.info/player/2485
717,マンダノビッチ|ミレー,717|733|1044|1081|1435|1845|2192,CM|NR|SS,5|7|5|7|7|7|7,1,マリオ・マンジュキッチ,マンダノビッチ,False,False,https://sp.rohm.websoccer.info/player/1063
717,マンダノビッチ|ミレー,717|733|1044|1081|1435|1845|2192,CM|NR|SS,5|7|5|7|7|7|7,3,イバン・ラキティッチ,ジョコビッチ,False,False,https://sp.rohm.websoccer.info/player/1570
243,ミラ|ミラー,243|956|1456|1492,NR|SS,7|7|7|7,1,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
243,ミラ|ミラー,243|956|1456|1492,NR|SS,7|7|7|7,4,ミケル・ジョン・オビ,ミレー,False,False,https://sp.rohm.websoccer.info/player/919
1796,ミレダーニャ,1796|2329|2338,NR|SS,7|7|7,2,ミケル・ジョン・オビ,ミレー,False,False,https://sp.rohm.websoccer.info/player/919
598,モラ,598|859|870|1589|1639|2404,CM|SS,5|5|5|7|7|7,1,フアン・マヌエル・マタ,ホセ・モラ,False,False,https://sp.rohm.websoccer.info/player/164
1525,モラエス,1525|2591,CM|SS,4|7,4,フェルナンド・コウト,トーレス,False,False,https://sp.rohm.websoccer.info/player/1104
2135,ライガード,2135,SS,7,2,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
1704,ラバーゼ,1704|2533,NR|SS,5|7,1,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
3058,ランガー,3058,SS,7,5,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
815,リヴェラーニ,815|1561|1664|1937|2215,SS,7|7|7|7|7,1,チロ・フェラーラ,フェラーリ,False,False,https://sp.rohm.websoccer.info/player/1122
633,ルイス,633|1256|2217,NR|SS,4|7|7,1,スチュアート・ピアース,ブルース,False,False,https://sp.rohm.websoccer.info/player/1024
688,ルシアーノ・パレイラ,688|1311,NR|SS,7|7,1,ジュニーニョ・パウリスタ,ルシアーノ・バチスタ,False,False,https://sp.rohm.websoccer.info/player/846
2563,ルーカス・デラス,2563,SS,7,3,スチュアート・ピアース,ブルース,False,False,https://sp.rohm.websoccer.info/player/1024
501,レナリーニョ,501|1153|1314|1661|2053,CM|NR|SS,5|5|7|7|7,1,ロナウジーニョ,マルセリーニョ,False,False,https://sp.rohm.websoccer.info/player/42
719,ロビー・ディーン,719|2082,CM|SS,5|7,4,ジョン・オシェイ,オコナー,False,False,https://sp.rohm.websoccer.info/player/794
247,ロマリーニョ,247|947|1710|1804|2535,NR|SS,6|7|7|7|7,1,ロナウジーニョ,マルセリーニョ,False,False,https://sp.rohm.websoccer.info/player/42
2323,佐藤 進|佐藤　進,2323|2763|2830,NR|SS,4|7|7,4,中山 雅史,権藤　隆史,False,False,https://sp.rohm.websoccer.info/player/576
487,吉田　友樹|小林　孝俊,487|1215|1873|2580|2661,NR|SS,5|7|7|7|7,1,長友 佑都,吉田　友樹,False,False,https://sp.rohm.websoccer.info/player/77
487,吉田　友樹|小林　孝俊,487|1215|1873|2580|2661,NR|SS,5|7|7|7|7,3,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
1622,堀口　祐樹,1622|2257,CM|SS,4|7,1,長友 佑都,吉田　友樹,False,False,https://sp.rohm.websoccer.info/player/77
1622,堀口　祐樹,1622|2257,CM|SS,4|7,4,本田 圭佑,本間　祐輔,False,False,https://sp.rohm.websoccer.info/player/1617
1147,大里　恵理,1147|1722,CM|SS,4|7,4,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
2270,天田 海二|天田　海二,2270|2760|2843,NR|SS,4|7|7,1,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
2270,天田 海二|天田　海二,2270|2760|2843,NR|SS,4|7|7,3,長友 佑都,吉田　友樹,False,False,https://sp.rohm.websoccer.info/player/77
630,小林　孝俊|長曽根　勇,630|1874|2143|2276|2662|2758,CM|SS,4|7|7|7|7|7,1,吉田 麻也,小林　孝俊,False,False,https://sp.rohm.websoccer.info/player/180
494,本間　祐輔|長曽根　勇,494|902|1875|2256|2385|2731|3031,CM|NR|RT|SS,4|4|7|7|5|7|7,1,長谷部誠,長曽根　勇,False,False,https://sp.rohm.websoccer.info/player/3249
494,本間　祐輔|長曽根　勇,494|902|1875|2256|2385|2731|3031,CM|NR|RT|SS,4|4|7|7|5|7|7,3,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
472,本間　祐輔|高松　信一,472|903|1001|1876|2729,CM|NR|SS,5|5|7|7|7,1,本田 圭佑,本間　祐輔,False,False,https://sp.rohm.websoccer.info/player/1617
472,本間　祐輔|高松　信一,472|903|1001|1876|2729,CM|NR|SS,5|5|7|7|7,4,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
2530,花江 音央,2530|3095,NR|SS,4|7,4,長友 佑都,吉田　友樹,False,False,https://sp.rohm.websoccer.info/player/77
3004,鈴井　獅音,3004,NR,4,4,城 彰二,秦田　丈,False,False,https://sp.rohm.websoccer.info/player/217
493,高松　信一|鮫島　純也,493|1647|1877|2154|2381|2730,NR|SS,5|7|7|7|7|7,1,香川 真司,高松　信一,False,False,https://sp.rohm.websoccer.info/player/113
